Modèles	Étiquettes	Précision	Rappel	F-mesure	Nombre d'occurences
1_3_relFreq_DT10	0	0.9737482117310443	0.9773836875358989	0.975562562706034	13928
1_3_relFreq_DT10	1	0.6232057416267942	0.5867117117117117	0.6044083526682135	888
1_3_relFreq_DT10	macro_moyenne	0.7984769766789193	0.7820476996238053	0.7899854576871237	_
1_2_relFreq_DT10	0	0.9747287264420331	0.9803273980470993	0.9775200458190149	13928
1_2_relFreq_DT10	1	0.6608910891089109	0.6013513513513513	0.6297169811320755	888
1_2_relFreq_DT10	macro_moyenne	0.817809907775472	0.7908393746992253	0.8036185134755451	_
1_1_relFreq_DT10	0	0.9827687344185364	0.9623061458931649	0.9724298048320396	13928
1_1_relFreq_DT10	1	0.5543293718166383	0.7353603603603603	0.6321393998063891	888
1_1_relFreq_DT10	macro_moyenne	0.7685490531175874	0.8488332531267626	0.8022846023192143	_
1_5_relFreq_DT10	0	0.9735638753929694	0.9783170591614015	0.9759346798452945	13928
1_5_relFreq_DT10	1	0.6317073170731707	0.5833333333333334	0.6065573770491803	888
1_5_relFreq_DT10	macro_moyenne	0.80263559623307	0.7808251962473675	0.7912460284472373	_
1_4_relFreq_DT10	0	0.9736428571428571	0.9786760482481333	0.9761529647665425	13928
1_4_relFreq_DT10	1	0.6360294117647058	0.5844594594594594	0.6091549295774648	888
1_4_relFreq_DT10	macro_moyenne	0.8048361344537815	0.7815677538537964	0.7926539471720035	_
